main,begin,end
IF1301,20130104,20130116
IF1302,20130117,20130207
IF1303,20130208,20130314
IF1304,20130315,20130418
IF1305,20130419,20130515
IF1306,20130516,20130619
IF1307,20130620,20130718
IF1308,20130719,20130814
IF1309,20130815,20130922
IF1310,20130923,20131017
IF1311,20131018,20131114
IF1312,20131115,20131219
IF1401,20131220,20140116
IF1402,20140117,20140219
IF1403,20140220,20140320
IF1404,20140321,20140417
IF1405,20140418,20140515
IF1406,20140516,20140619
IF1407,20140620,20140717
IF1408,20140718,20140814
IF1409,20140815,20140918
IF1410,20140919,20141016
IF1411,20141017,20141119
IF1412,20141120,20141217
IF1501,20141218,20150115
IF1502,20150116,20150216
IF1503,20150217,20150319
IF1504,20150320,20150416
IF1505,20150417,20150514
IF1506,20150515,20150618
IF1507,20150619,20150716
IF1508,20150717,20150820
IF1509,20150821,20150917
IF1510,20150918,20151015
IF1511,20151016,20151119
IF1512,20151120,20151217
IF1601,20151218,20160114
IF1602,20160115,20160218
IF1603,20160219,20160317
IF1604,20160318,20160414
IF1605,20160415,20160519
IF1606,20160520,20160616
IF1607,20160617,20160714
IF1608,20160715,20160818
IF1609,20160819,20160918
IF1610,20160919,20161020
IF1611,20161021,20161117
IF1612,20161118,20161215
IF1701,20161216,20170119
IF1702,20170120,20170216
IF1703,20170217,20170316
IF1704,20170317,20170420
IF1705,20170421,20170518
IF1706,20170519,20170615
IF1707,20170616,20170720
IF1708,20170721,20170817
IF1709,20170818,20170914
IF1710,20170915,20171019
IF1711,20171020,20171116
IF1712,20171117,20171214
IF1801,20171215,20180118
IF1802,20180119,20180213
IF1803,20180214,20180315
IF1804,20180316,20180419
IF1805,20180420,20180427
