main,begin,end
cu1304,20130104,20130122
cu1305,20130123,20130224
cu1306,20130225,20130313
cu1307,20130314,20130407
cu1308,20130408,20130505
cu1309,20130506,20130604
cu1310,20130605,20130707
cu1311,20130708,20130812
cu1312,20130813,20131008
cu1401,20131009,20131117
cu1402,20131118,20131217
cu1403,20131218,20140115
cu1404,20140116,20140218
cu1405,20140219,20140311
cu1406,20140312,20140402
cu1407,20140403,20140505
cu1408,20140506,20140625
cu1409,20140626,20140731
cu1410,20140801,20140902
cu1411,20140903,20140924
cu1412,20140925,20141021
cu1501,20141022,20141126
cu1502,20141127,20141217
cu1503,20141218,20150126
cu1504,20150127,20150225
cu1505,20150226,20150324
cu1506,20150325,20150427
cu1507,20150428,20150527
cu1508,20150528,20150630
cu1509,20150701,20150729
cu1510,20150730,20150831
cu1511,20150901,20151008
cu1512,20151009,20151103
cu1601,20151104,20151202
cu1602,20151203,20160105
cu1603,20160106,20160215
cu1604,20160216,20160302
cu1605,20160303,20160331
cu1606,20160401,20160503
cu1607,20160504,20160531
cu1608,20160601,20160630
cu1609,20160701,20160802
cu1610,20160803,20160904
cu1611,20160905,20161010
cu1612,20161011,20161101
cu1701,20161102,20161130
cu1702,20161201,20161228
cu1703,20161229,20170212
cu1704,20170213,20170312
cu1705,20170313,20170411
cu1706,20170412,20170509
cu1707,20170510,20170606
cu1708,20170607,20170704
cu1709,20170705,20170803
cu1710,20170804,20170907
cu1711,20170908,20171011
cu1712,20171012,20171105
cu1801,20171106,20171207
cu1802,20171208,20180108
cu1803,20180109,20180208
cu1804,20180209,20180306
cu1805,20180307,20180411
cu1806,20180412,20180427
